location,latitude,longitude
ngr layout,12.9880639,77.5820053
nri layout,12.9608946,79.1452875
nagarbhavi,12.9819569258295,77.51837412776779
nagasandra,13.0479536,77.5001422
nagavara,13.0374647,77.623602
nagavarapalya,12.99338365,77.66405239987942
narayanapura,17.8502426,76.99489360588584
neeladri nagar,12.8414612,77.6479661
nehru nagar,19.0010485,72.8194265
ombr layout,13.0082113,77.652778
old airport road,7.122850505020128,125.6540124176784
old madras road,13.017909862526189,77.70604276405028
padmanabhanagar,12.91810235,77.55766378714812
pai layout,12.9820719,77.74809089449141
panathur,12.4571904,75.3557324
parappana agrahara,12.880208849999999,77.66584419254806
pattandur agrahara,12.9876393,77.7377718
poorna pragna layout,12.9089902,77.53274961607151
prithvi layout,12.977178,77.7436455
r.t. nagar,19.0732283,72.9104689
rachenahalli,13.0571472,76.0921156
raja rajeshwari nagar,17.3347866,78.6008776
rajaji nagar,11.35231,77.75753
rajiv nagar,20.2507628,85.7826009
ramagondanahalli,13.121810799999999,77.55715921126554
ramamurthy nagar,13.0120218,77.6777817
rayasandra,12.8765714,77.6821122545085
sahakara nagar,17.2569932,80.1536665
sanjay nagar,30.1915796,74.9408769
sarakki nagar,12.9087511,77.5798635
sarjapur,25.410604550000002,77.44252340908808
sarjapur  road,12.924011331487725,77.65309815900663
sarjapura - attibele road,,
sector 2 hsr layout,12.9088805,77.6483163
sector 7 hsr layout,12.9100092,77.6351171
seegehalli,12.8142738,77.45823539467395
shampura,22.9216423,76.74989332374327
shivaji nagar,25.88455445,86.03985031384562
singasandra,12.68449915,77.70161805635927
somasundara palya,,
sompura,13.22806165,77.24192775791582
sonnenahalli,13.2067123,77.49224540361124
subramanyapura,12.8963963,77.5377864
sultan palaya,23.616060818950086,58.58844001674453
tc palaya,13.009780555725579,77.6930861650199
talaghattapura,,
thanisandra,13.054713,77.6339258
thigalarapalya,13.0137116,77.4834475
thubarahalli,12.9547872,77.7213154
thyagaraja nagar,12.931392,77.5683011
tindlu,13.2338969,77.5947061
tumkur road,13.028365692238337,77.54080013209816
ulsoor,12.9778793,77.6246697
uttarahalli,12.9055682,77.5455438
varthur,12.9406508,77.746988
varthur road,12.954862409113279,77.68508656978513
vasanthapura,12.8982552,77.5498322
vidyaranyapura,13.0766407,77.5577315
vijayanagar,12.9709537,77.5373851
vishveshwarya layout,,
vishwapriya layout,17.7140105,83.3206752448408
vittasandra,12.8533901,77.6383481
whitefield,44.3731286,-71.6119661
yelachenahalli,12.897971,77.5700846
yelahanka,13.1006982,77.5963454
yelahanka new town,13.0978039,77.5811889
yelenahalli,12.8669074,77.6159019
yeshwanthpur,13.0176937,77.5555008636176
